"Name","Version","ProviderName"
"7-Zip 26.01 (x64)","26.01","Programs"
"GIGABYTE A.I. Snatch","24.11.19.01","Programs"
"AMD Software","26.5.2","Programs"
"AMD Ryzen Master","3.0.2.5029","Programs"
"AMD Ryzen Master","3.0.2.5029","msi"
"GIGABYTE Installer","25.11.05.01","Programs"
"AutoHotkey","2.0.26","Programs"
"Obsidian","1.12.7","Programs"
"Docker Desktop","4.73.1","Programs"
"Windows Driver Package - libusb-win32 (libusb0) libusb-win32 devices  (11/21/2017 1.2.6.0)","11/21/2017 1.2.6.0","Programs"
"Everything 1.4.1.1032 (x64)","1.4.1.1032","Programs"
"GIGABYTE OnFly X3D","25.10.14.01","Programs"
"GIGABYTE SSD Firmware Update Tool","24.06.19.01","Programs"
"GBT_Dynamic_Lighting_Lib_UC 25.07.21.01","25.07.21.01","Programs"
"GBT_MB_Update","26.01.14.01","Programs"
"GBT_rgbMotherboard_UC 26.03.25.01","26.03.25.01","Programs"
"GBT_RGB_Sync_Control 26.03.25.01","26.03.25.01","Programs"
"GBT_VGA 26.04.20.01","26.04.20.01","Programs"
"GIGABYTE Wi-Fi Compass","24.10.30.01","Programs"
"GIGABYTE Control Center 26.03.26.01","26.03.26.01","Programs"
"Git","2.54.0","Programs"
"LockHunter 3.4, 32/64 bit","3.4.3.146","Programs"
"Microsoft ASP.NET Core 9.0.13 Shared Framework (x64)","9.0.13.26064","msi"
"Macrium Reflect Workstation","v8.1.8631","Programs"
"Macrium Reflect Workstation","8.1.8631","msi"
"GIGABYTE Performance Library","26.03.19.01","Programs"
"Microsoft .NET Toolset 6.0.428 (x64)","24.15.28115","msi"
"GIGABYTE Storage Library","26.04.27.02","Programs"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)","81.176.52183","msi"
"Mozilla Firefox (x64 en-US)","150.0.3","Programs"
"Microsoft .NET Toolset 10.0.204 (x64)","40.11.2218","msi"
"Mozilla Maintenance Service","150.0.3","Programs"
"Microsoft ASP.NET Core 9.0.16 Targeting Pack (x64)","9.0.16.26230","msi"
"Sidekick 25.09.30.01","25.09.30.01","Programs"
"Microsoft Visual Studio Setup WMI Provider","3.12.2140.44225","msi"
"Tesseract-OCR - open source OCR engine","5.4.0.20240606","Programs"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.56.52051","msi"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61186","Programs"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61186","msi"
"Microsoft ASP.NET Core 8.0.26 Targeting Pack (x64)","8.0.26.26169","msi"
"Microsoft Visual C++ 2005 Redistributable (x86)","8.0.61187","Programs"
"Microsoft .NET AppHost Pack - 7.0.20 (x64_x86)","56.80.15184","msi"
"Microsoft Visual C++ 2008 Redistributable (x64)","9.0.30729.7523","Programs"
"Microsoft .NET AppHost Pack - 6.0.36 (x64)","48.144.23141","msi"
"Microsoft Visual C++ 2008 Redistributable (x86)","9.0.30729.7523","Programs"
"Microsoft Visual C++ 2010 Redistributable (x64)","10.0.40219.473","Programs"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)","81.176.52183","msi"
"Microsoft Visual C++ 2010 Redistributable (x86)","10.0.40219.473","Programs"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.52183","msi"
"Microsoft Visual C++ 2012 Redistributable (x64)","11.0.61135.400","Programs"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","64.96.47265","msi"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","8.0.24.35722","Programs"
"Microsoft Visual C++ 2012 Redistributable (x86)","11.0.61135.400","Programs"
"Microsoft .NET AppHost Pack - 7.0.20 (x64_arm64)","56.80.15184","msi"
"Microsoft Visual C++ 2013 Redistributable (x64)","12.0.40664.0","Programs"
"Microsoft .NET Core Host - 2.2.8 (x64)","16.160.28209","msi"
"Microsoft .NET Runtime - 9.0.15 (x64)","72.60.50518","msi"
"Microsoft .NET Runtime - 9.0.15 (x64)","9.0.15.35925","Programs"
"Microsoft .NET Toolset 10.0.103 (x64)","40.10.52243","msi"
"Microsoft .NET Host - 8.0.27 (x64)","64.108.52182","msi"
"Microsoft .NET Core Runtime - 3.0.3 (x64)","24.12.28517","msi"
"Microsoft Visual C++ 2013 Redistributable (x86)","12.0.40664.0","Programs"
"Windows Desktop Extension SDK","10.1.26100.7705","msi"
