"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"7-Zip 26.01 (x64)","26.01","Igor Pavlov","C:\Program Files\7-Zip\","""C:\Program Files\7-Zip\Uninstall.exe"""
"AMD 3D V-Cache Performance Optimizer Driver","1.0.0.12","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\3D_V-Cache_Performance_Optimizer_Driver\","MsiExec.exe /X{4537278A-8E70-4021-A866-38CE644D92F8}"
"AMD Application Compatibility Database Driver","1.0.0.3","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\APP Compatibility Database Driver\","MsiExec.exe /X{7466773D-AE4B-48F6-8E12-D64B555C1BEA}"
"AMD Chipset Software","8.03.25.247","Advanced Micro Devices, Inc.",,"""C:\Program Files (x86)\AMD\Chipset_Software\QT_Dependencies\Setup.exe"" /U {3a8e985c-afba-4063-bfe4-463a869fb00d}"
"AMD DVR64","1.0.2","Advanced Micro Devices, Inc.","",
"AMD GPIO2 Driver","2.2.0.136","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\GPIO2 Driver\","MsiExec.exe /X{E9DD399F-21A3-479E-A7DF-D6CF4B2ADBF3}"
"AMD I2C Driver","1.2.0.126","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\I2C Driver\","MsiExec.exe /X{B31D92D9-2914-46B0-9738-F668A563DE73}"
"AMD Install Manager","25.10.26126.2250","Advanced Micro Devices, Inc.","","MsiExec.exe /X{7796C69D-F8AB-4801-AAFA-EC2EA2878229}"
"AMD Interface Driver","2.0.0.26","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\Interface_Driver\","MsiExec.exe /X{6118E908-9B3B-4258-B7C2-7DEEA5A65A85}"
"AMD PPM Provisioning File Driver","8.0.0.59","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\PPM Provisioning File Driver\","MsiExec.exe /X{3665A5DE-D07C-46D7-9207-713E8E9FEF32}"
"AMD Privacy View","1.02.0001","Eyeware Tech SA","","MsiExec.exe /X{D8E24EA6-807B-48D0-86D6-A9C5E74B8F2C}"
"AMD PSP Driver","5.40.0.0","Advanced Micro Devices, Inc.","C:\AMD\Chipset_Software\Binaries\PSP Driver\","MsiExec.exe /X{988F14B8-79A8-475D-BAC7-83F96AD3D821}"
"AMD Ryzen Master","3.0.2.5029","Advanced Micro Devices, Inc.","","MsiExec.exe /X{48D68A32-75A8-49F8-9A3D-7C4939B35F4E}"
"AMD Ryzen Master","3.0.2.5029","Advanced Micro Devices, Inc.","C:\Program Files\AMD\RyzenMaster\","C:\Program Files\AMD\RyzenMaster\bin\Setup.exe /U {48D68A32-75A8-49F8-9A3D-7C4939B35F4E}"
"AMD Settings","2026.0506.2311.2068","Advanced Micro Devices, Inc.","",
"AMD Software","26.5.2","Advanced Micro Devices, Inc.","C:\Program Files\AMD\CIM\BIN64","""C:\Program Files\AMD\CIM\BIN64\AMDSoftwareInstaller.exe"" /EXPRESS_UNINSTALL /IGNORE_UPGRADE /ON_REBOOT_MESSAGE:NO"
"AMD WVR64","1.0.2","Advanced Micro Devices, Inc.","",
"AMD_Chipset_Drivers","8.03.25.247","Advanced Micro Devices, Inc.","C:\Chipset_Software\","MsiExec.exe /X{3a8e985c-afba-4063-bfe4-463a869fb00d}"
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","Microsoft","","MsiExec.exe /I{D75B3C63-F3BB-5EC1-45A7-15C00BBB9D3F}"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.7705","Microsoft","","MsiExec.exe /I{601DDF69-FCF4-F568-946A-C17046C946E4}"
"Ascendara 10.4.3","10.4.3","tagoWorks",,"""C:\Users\micha\AppData\Local\Programs\ascendara\Uninstall Ascendara.exe"" /currentuser"
"AutoHotkey","2.0.26","AutoHotkey Foundation LLC","C:\Program Files\AutoHotkey","""C:\Program Files\AutoHotkey\UX\AutoHotkeyUX.exe"" ""C:\Program Files\AutoHotkey\UX\ui-uninstall.ahk"""
"Branding64","1.00.0009","Advanced Micro Devices, Inc.","","MsiExec.exe /I{492AEFBE-1B81-4C20-A111-E6974BB98EC5}"
"Bun",,,"C:\Users\micha\.bun","powershell -c ""& 'C:\Users\micha\.bun\uninstall.ps1' -PauseOnError"" -ExecutionPolicy Bypass"
"Claude","1.3561.0","Anthropic PBC","C:\Users\micha\AppData\Local\AnthropicClaude","""C:\Users\micha\AppData\Local\AnthropicClaude\Update.exe"" --uninstall"
"cloudflared","2026.5.0","cloudflare","","MsiExec.exe /I{F727B6D1-F535-474A-AD6A-C223D6DE9472}"
"Codex CLI","0.130.0","OpenAI, Inc.","C:\Users\micha\AppData\Local\Microsoft\WinGet\Packages\OpenAI.Codex_Microsoft.Winget.Source_8wekyb3d8bbwe","winget uninstall --product-code OpenAI.Codex_Microsoft.Winget.Source_8wekyb3d8bbwe"
