"TaskName","TaskPath","State"
"AIMemoryBoost","\","Disabled"
"AMD Install Manager - Check For Updates","\","Ready"
"AMDRyzenMasterSDKTask","\","Ready"
"Autorun_current_ahk","\","Ready"
"BackupClaudeCode","\","Disabled"
"ChromeProfiles","\","Disabled"
"ClaudeChannel","\","Disabled"
"ClaudeChannelHealth","\","Disabled"
"ClaudeUsageRefresh","\","Disabled"
"Codex-Terminal-Fast-Responsiveness","\","Disabled"
"CodexAadbAutoConnect","\","Disabled"
"CodexDesktopGoalPatchOnce","\","Ready"
"CodexInteractiveTestPS5","\","Disabled"
"Codex_Forge_MCP","\","Disabled"
"CreateExplorerShellUnelevatedTask","\","Disabled"
"CustomStartup_Ascendara_8f30f765","\","Disabled"
"CustomStartup_current_65086a48","\","Ready"
"CustomStartup_HermesTray_064be82f","\","Ready"
"CustomStartup_ProcessLasso_f99833e2","\","Ready"
"CustomStartup_ram_optimizer_96dfe0ad","\","Disabled"
"CustomStartup_Telegram_acf6eb58","\","Disabled"
"CustomStartup_Todoist_0d3d78ba","\","Disabled"
"CustomStartup_Wand_1018de34","\","Disabled"
"FitLauncher Path Bridge","\","Disabled"
"FixDismSource","\","Disabled"
"GCC","\","Disabled"
"HermesDockerIsolationGuard","\","Disabled"
"HermesDockerServiceEventGuard","\","Ready"
"InputPriorityFixer","\","Disabled"
"Kim2_Afternoon","\","Disabled"
"Kim_Morning","\","Disabled"
"MasterStartupLauncher","\","Disabled"
"MicrosoftEdgeUpdateTaskMachineCore{A5C83DA7-FB44-4A79-A2F4-E6DE0C5921F2}","\","Disabled"
"MicrosoftEdgeUpdateTaskMachineUA{8CBAAD01-0206-497C-A395-E834EEF9A326}","\","Ready"
"ModifyLinkUpdate","\","Disabled"
"MSIAfterburner","\","Disabled"
"Murmure_Tray","\","Ready"
"NuclearWatch_Logon","\","Disabled"
"NVID-Apply-MaxGpuPower","\","Ready"
"NVIDIA App SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","\","Disabled"
"ObsidianDailyNote","\","Disabled"
"ObsidianHotMemory","\","Disabled"
"ObsidianRebuildIndex","\","Disabled"
"ObsidianVaultIndex","\","Disabled"
"OpenSpeedy_Tray","\","Ready"
"PCMaxPerf","\","Disabled"
"POPUP_KILLER_OnBoot","\","Disabled"
"RLP-Sync-Agent","\","Disabled"
"StartCN","\","Disabled"
"StartDVR","\","Disabled"
"TgChannel","\","Disabled"
"TgTray","\","Disabled"
"TVIPDiscover","\","Disabled"
"TVStartupCheck","\","Disabled"
"Tweaking.com - Windows Repair Tray Icon","\","Disabled"
"WandGameAutoSync","\","Disabled"
"WeeklyPCOptimizer","\","Disabled"
"WinFocusMonitor","\","Disabled"
"GoogleUpdaterTaskSystem149.0.7814.0{06A04B12-6563-4401-AA1B-8DCBD530A02D}","\GoogleSystem\GoogleUpdater\","Ready"
"Firefox Background Update S-1-5-21-4273236717-3318517009-3029446451-1001 308046B0AF4A39CB","\Mozilla\","Disabled"
"Firefox Default Browser Agent 308046B0AF4A39CB","\Mozilla\","Ready"
"WinPerfMax","\PerfMax\","Disabled"
"SoftLandingCreativeManagementTask","\SoftLanding\S-1-5-21-4273236717-3318517009-3029446451-1001\","Disabled"
