"Name","DisplayName","Status","StartType"
"AarSvc_c2e02","Agent Activation Runtime_c2e02","Stopped","Manual"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Automatic"
"AMD External Events Utility","AMD External Events Utility","Running","Automatic"
"amd3dvcacheSvc","AMD 3D V-Cache Performance Optimizer Service","Stopped","Automatic"
"AmdAppCompatSvc","AMD Application Compatibility Database Service","Stopped","Automatic"
"AmdPpkgSvc","AMD Provisioning Packages Service","Running","Automatic"
"AorusLcdService","GIGABYTE AORUS LCD Service","Running","Automatic"
"AppHostSvc","Application Host Helper Service","Stopped","Automatic"
"AppIDSvc","Application Identity","Running","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Automatic"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"aspnet_state","ASP.NET State Service","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_c2e02","GameDVR and Broadcast User Service_c2e02","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Running","Automatic"
"BluetoothUserService_c2e02","Bluetooth User Support Service_c2e02","Running","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"Browser","Computer Browser","Running","Manual"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual"
"BthAvctpSvc","AVCTP service","Running","Manual"
"bthserv","Bluetooth Support Service","Running","Automatic"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_c2e02","CaptureService_c2e02","Stopped","Manual"
"cbdhsvc_c2e02","Clipboard User Service_c2e02","Running","Automatic"
"CCleanerPerformanceOptimizerService","CCleanerPerformanceOptimizerService","Stopped","Manual"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_c2e02","Connected Devices Platform User Service_c2e02","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Disabled"
"ClipSVC","Client Licence Service (ClipSVC)","Stopped","Manual"
"CloudBackupRestoreSvc_c2e02","Cloud Backup and Restore Service_c2e02","Stopped","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"CmService","Container Manager Service","Running","Automatic"
"com.docker.service","Docker Desktop Service","Running","Automatic"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_c2e02","ConsentUX User Service_c2e02","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CorsairDeviceControlService","Corsair Device Control Service","Stopped","Manual"
"CoworkVMService","Claude","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_c2e02","CredentialEnrollmentManagerUserSvc_c2e02","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"CscService","Offline Files","Stopped","Disabled"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimise drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_c2e02","DeviceAssociationBroker_c2e02","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Automatic"
"DeviceInstall","Device Install Service","Stopped","Manual"
