"Name","Version","Vendor"
"AMD 3D V-Cache Performance Optimizer Driver","1.0.0.12","Advanced Micro Devices, Inc."
"AMD Application Compatibility Database Driver","1.0.0.3","Advanced Micro Devices, Inc."
"AMD DVR64","1.0.2","Advanced Micro Devices, Inc."
"AMD GPIO2 Driver","2.2.0.136","Advanced Micro Devices, Inc."
"AMD I2C Driver","1.2.0.126","Advanced Micro Devices, Inc."
"AMD Install Manager","25.10.26126.2250","Advanced Micro Devices, Inc."
"AMD Interface Driver","2.0.0.26","Advanced Micro Devices, Inc."
"AMD PPM Provisioning File Driver","8.0.0.59","Advanced Micro Devices, Inc."
"AMD Privacy View","1.02.0001","Eyeware Tech SA"
"AMD PSP Driver","5.40.0.0","Advanced Micro Devices, Inc."
"AMD Ryzen Master","3.0.2.5029","Advanced Micro Devices, Inc."
"AMD Settings","2026.0506.2311.2068","Advanced Micro Devices, Inc."
"AMD WVR64","1.0.2","Advanced Micro Devices, Inc."
"AMD_Chipset_Drivers","8.03.25.247","Advanced Micro Devices, Inc."
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","Microsoft"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.7705","Microsoft"
"Branding64","1.00.0009","Advanced Micro Devices, Inc."
"cloudflared","2026.5.0","cloudflare"
"Corsair Device Control Service","1.9.9","Corsair"
"DiagnosticsHub_CollectionService","17.14.36412","Microsoft Corporation"
"ENE Video Capture Box HAL","1.0.5.15",
"ENE_AIC_Marvell_HAL","1.0.7.0",
"ENE_DRAM_RGB_AIO","1.0.23.1","Ene Tech."
"ENE_EHD_M2_HAL","1.0.17.0","ENE TECHNOLOGY INC."
"ENE_External_Device_HAL","1.0.12.7",
"ENE_MousePad_HAL","1.0.1.8",
"ENE_X_AIC_HAL","1.0.6.3",
"GitHub CLI","2.92.0","GitHub, Inc."
"Google Chrome","148.0.7778.168","Google LLC"
"Kits Configuration Installer","10.1.26100.2454","Microsoft"
"Macrium Reflect Workstation","8.1.8631","Paramount Software (UK) Ltd."
"Microsoft .NET 10.0 Templates 10.0.103 x64","40.10.52243","Microsoft Corporation"
"Microsoft .NET 10.0 Templates 10.0.104 x64","40.11.56650","Microsoft Corporation"
"Microsoft .NET 10.0 Templates 10.0.108 x64","40.11.2123","Microsoft Corporation"
"Microsoft .NET 10.0 Templates 10.0.200 x64","40.10.56662","Microsoft Corporation"
"Microsoft .NET 10.0 Templates 10.0.204 x64","40.11.2218","Microsoft Corporation"
"Microsoft .NET 10.0 Templates 10.0.300 x64","40.11.2206","Microsoft Corporation"
"Microsoft .NET 11.0 Templates 11.0.100-preview.1.26104.118 x64","44.10.55158","Microsoft Corporation"
"Microsoft .NET 11.0 Templates 11.0.100-preview.4.26230.115 x64","44.11.2219","Microsoft Corporation"
"Microsoft .NET 6.0 Templates 6.0.428 (x64)","24.9.28115",
"Microsoft .NET 7.0 Templates 7.0.410 (x64)","28.13.2919",
"Microsoft .NET 8.0 Templates 8.0.417 (x64)","32.15.54793","Microsoft Corporation"
"Microsoft .NET 8.0 Templates 8.0.418 (x64)","32.14.51843","Microsoft Corporation"
"Microsoft .NET 8.0 Templates 8.0.419 (x64)","32.14.55941","Microsoft Corporation"
"Microsoft .NET 8.0 Templates 8.0.420 (x64)","32.14.61841","Microsoft Corporation"
"Microsoft .NET 8.0 Templates 8.0.421 (x64)","32.15.51258","Microsoft Corporation"
"Microsoft .NET 9.0 Templates 9.0.310 (x64)","36.11.51051","Microsoft Corporation"
"Microsoft .NET 9.0 Templates 9.0.311 (x64)","36.11.51454","Microsoft Corporation"
"Microsoft .NET 9.0 Templates 9.0.312 (x64)","36.11.56644","Microsoft Corporation"
"Microsoft .NET 9.0 Templates 9.0.313 (x64)","36.11.62243","Microsoft Corporation"
"Microsoft .NET 9.0 Templates 9.0.314 (x64)","36.15.2113","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 5.0.17 (x64)","40.68.31213",
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm)","40.68.31213",
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm64)","40.68.31213",
"Microsoft .NET AppHost Pack - 5.0.17 (x64_x86)","40.68.31213",
"Microsoft .NET AppHost Pack - 6.0.36 (x64)","48.144.23141",
"Microsoft .NET AppHost Pack - 6.0.36 (x64_arm)","48.144.23141",
"Microsoft .NET AppHost Pack - 6.0.36 (x64_arm64)","48.144.23141",
"Microsoft .NET AppHost Pack - 6.0.36 (x64_x86)","48.144.23141",
"Microsoft .NET AppHost Pack - 7.0.20 (x64)","56.80.15184",
"Microsoft .NET AppHost Pack - 7.0.20 (x64_arm)","56.80.15184",
"Microsoft .NET AppHost Pack - 7.0.20 (x64_arm64)","56.80.15184",
"Microsoft .NET AppHost Pack - 7.0.20 (x64_x86)","56.80.15184",
"Microsoft .NET AppHost Pack - 8.0.23 (x64)","64.92.45415","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.23 (x64_arm64)","64.92.45415","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.23 (x64_x86)","64.92.45415","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.24 (x64)","64.96.47242","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.24 (x64_arm64)","64.96.47242","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.24 (x64_x86)","64.96.47242","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.25 (x64)","64.100.48707","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.25 (x64_arm64)","64.100.48707","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.25 (x64_x86)","64.100.48707","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.26 (x64)","64.104.50421","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.26 (x64_arm64)","64.104.50421","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.26 (x64_x86)","64.104.50421","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.27 (x64)","64.108.52182","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_arm64)","64.108.52182","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_x86)","64.108.52182","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.12 (x64)","72.48.45417","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.12 (x64_arm64)","72.48.45417","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.12 (x64_x86)","72.48.45417","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.13 (x64)","72.52.47121","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.13 (x64_arm64)","72.52.47121","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.13 (x64_x86)","72.52.47121","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.14 (x64)","72.56.48826","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.14 (x64_arm64)","72.56.48826","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.14 (x64_x86)","72.56.48826","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.15 (x64)","72.60.50518","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.15 (x64_arm64)","72.60.50518","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.15 (x64_x86)","72.60.50518","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.16 (x64)","72.64.52183","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.16 (x64_arm64)","72.64.52183","Microsoft Corporation"
"Microsoft .NET AppHost Pack - 9.0.16 (x64_x86)","72.64.52183","Microsoft Corporation"
"Microsoft .NET Core 3.0 Templates (x64)","3.0.4.014459",
"Microsoft .NET Core 3.1 Templates 3.1.426 (x64)","3.1.33.016244",
"Microsoft .NET Core 5.0 Templates 5.0.408 (x64)","20.4.59784",
"Microsoft .NET Core AppHost Pack - 3.0.3 (x64)","24.12.28517",
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64)","24.192.31915",
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm)","24.192.31915",
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm64)","24.192.31915",
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_x86)","24.192.31915",
"Microsoft .NET Core Host - 2.1.30 (x64)","16.120.30411",
"Microsoft .NET Core Host - 2.2.7 (x64)","16.156.28009",
"Microsoft .NET Core Host - 2.2.8 (x64)","16.160.28209",
"Microsoft .NET Core Host - 3.0.3 (x64)","24.12.28517",
"Microsoft .NET Core Host - 3.1.32 (x64)","24.192.31915",
"Microsoft .NET Core Host FX Resolver - 2.1.30 (x64)","16.120.30411",
"Microsoft .NET Core Host FX Resolver - 2.2.7 (x64)","16.156.28009",
"Microsoft .NET Core Host FX Resolver - 2.2.8 (x64)","16.160.28209",
"Microsoft .NET Core Host FX Resolver - 3.0.3 (x64)","24.12.28517",
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)","24.192.31915",
"Microsoft .NET Core Runtime - 2.1.30 (x64)","16.120.30411",
"Microsoft .NET Core Runtime - 2.2.7 (x64)","16.156.28009",
"Microsoft .NET Core Runtime - 2.2.8 (x64)","16.160.28209","Microsoft Corporation"
"Microsoft .NET Core Runtime - 3.0.3 (x64)","24.12.28517",
"Microsoft .NET Core Runtime - 3.1.32 (x64)","24.192.31915",
"Microsoft .NET Core SDK 2.2.207 (x64)","8.51.59374",
"Microsoft .NET Core SDK 2.2.402 (x64)","8.100.43055",
"Microsoft .NET Core SDK 3.0.103 (x64)","12.0.63611",
"Microsoft .NET Core SDK Uninstall Tool (x86)","4.112.868","Microsoft Corporation"
"Microsoft .NET Core Targeting Pack - 3.0.0 (x64)","24.0.28113",
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","24.64.28315",
"Microsoft .NET Core Toolset 3.1.426 (x64)","12.22.49012",
"Microsoft .NET Host - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft .NET Host - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft .NET Host - 5.0.17 (x64)","40.68.31213",
"Microsoft .NET Host - 6.0.36 (x64)","48.144.23141",
"Microsoft .NET Host - 6.0.36 (x86)","48.144.23141","Microsoft Corporation"
"Microsoft .NET Host - 7.0.20 (x64)","56.80.15184",
"Microsoft .NET Host - 7.0.20 (x86)","56.80.15184","Microsoft Corporation"
"Microsoft .NET Host - 8.0.25 (x86)","64.100.48707","Microsoft Corporation"
"Microsoft .NET Host - 8.0.27 (x64)","64.108.52182","Microsoft Corporation"
"Microsoft .NET Host - 9.0.16 (x64)","72.64.52183","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 10.0.5 (x64)","80.20.50175","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 2 (x64)","88.0.50256","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)","40.68.31213",
"Microsoft .NET Host FX Resolver - 6.0.36 (x64)","48.144.23141",
"Microsoft .NET Host FX Resolver - 6.0.36 (x86)","48.144.23141","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 7.0.20 (x64)","56.80.15184",
"Microsoft .NET Host FX Resolver - 7.0.20 (x86)","56.80.15184","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.19 (x64)","64.76.37566",
"Microsoft .NET Host FX Resolver - 8.0.23 (x64)","64.92.45415","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.24 (x64)","64.96.47242","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.25 (x64)","64.100.48707","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.25 (x86)","64.100.48707","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.26 (x64)","64.104.50421","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 8.0.27 (x64)","64.108.52182","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 9.0.12 (x64)","72.48.45417","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 9.0.13 (x64)","72.52.47121","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 9.0.14 (x64)","72.56.48826","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 9.0.15 (x64)","72.60.50518","Microsoft Corporation"
"Microsoft .NET Host FX Resolver - 9.0.16 (x64)","72.64.52183","Microsoft Corporation"
"Microsoft .NET Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft .NET Runtime - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft .NET Runtime - 10.0.5 (x64)","80.20.50175","Microsoft Corporation"
"Microsoft .NET Runtime - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft .NET Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft .NET Runtime - 11.0.0 Preview 2 (x64)","88.0.50256","Microsoft Corporation"
"Microsoft .NET Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft .NET Runtime - 5.0.17 (x64)","40.68.31213",
"Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141",
"Microsoft .NET Runtime - 6.0.36 (x86)","48.144.23141","Microsoft Corporation"
"Microsoft .NET Runtime - 7.0.20 (x64)","56.80.15184",
"Microsoft .NET Runtime - 7.0.20 (x86)","56.80.15184","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.19 (x64)","64.76.37566",
"Microsoft .NET Runtime - 8.0.23 (x64)","64.92.45415","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.24 (x64)","64.96.47242","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.25 (x64)","64.100.48707","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.25 (x86)","64.100.48707","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.26 (x64)","64.104.50421","Microsoft Corporation"
"Microsoft .NET Runtime - 8.0.27 (x64)","64.108.52182","Microsoft Corporation"
"Microsoft .NET Runtime - 9.0.12 (x64)","72.48.45417","Microsoft Corporation"
"Microsoft .NET Runtime - 9.0.13 (x64)","72.52.47121","Microsoft Corporation"
"Microsoft .NET Runtime - 9.0.14 (x64)","72.56.48826","Microsoft Corporation"
"Microsoft .NET Runtime - 9.0.15 (x64)","72.60.50518","Microsoft Corporation"
"Microsoft .NET Runtime - 9.0.16 (x64)","72.64.52183","Microsoft Corporation"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113",
"Microsoft .NET Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 5.0.0 (x64)","40.0.29513",
"Microsoft .NET Targeting Pack - 6.0.36 (x64)","48.144.23141",
"Microsoft .NET Targeting Pack - 7.0.20 (x64)","56.80.15184",
"Microsoft .NET Targeting Pack - 8.0.23 (x64)","64.92.45415","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 8.0.24 (x64)","64.96.47242","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 8.0.25 (x64)","64.100.48707","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 8.0.26 (x64)","64.104.50421","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 8.0.27 (x64)","64.108.52182","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 9.0.12 (x64)","72.48.45417","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 9.0.13 (x64)","72.52.47121","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 9.0.14 (x64)","72.56.48826","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 9.0.15 (x64)","72.60.50518","Microsoft Corporation"
"Microsoft .NET Targeting Pack - 9.0.16 (x64)","72.64.52183","Microsoft Corporation"
"Microsoft .NET Toolset 10.0.103 (x64)","40.10.52243","Microsoft Corporation"
"Microsoft .NET Toolset 10.0.104 (x64)","40.11.56650","Microsoft Corporation"
"Microsoft .NET Toolset 10.0.108 (x64)","40.11.2123","Microsoft Corporation"
"Microsoft .NET Toolset 10.0.200 (x64)","40.10.56662","Microsoft Corporation"
"Microsoft .NET Toolset 10.0.204 (x64)","40.11.2218","Microsoft Corporation"
"Microsoft .NET Toolset 10.0.300 (x64)","40.11.2206","Microsoft Corporation"
"Microsoft .NET Toolset 11.0.100-preview.1.26104.118 (x64)","44.10.55158","Microsoft Corporation"
"Microsoft .NET Toolset 11.0.100-preview.4.26230.115 (x64)","44.11.2219","Microsoft Corporation"
"Microsoft .NET Toolset 5.0.408 (x64)","20.6.59784",
"Microsoft .NET Toolset 6.0.428 (x64)","24.15.28115",
"Microsoft .NET Toolset 7.0.410 (x64)","28.10.35687",
"Microsoft .NET Toolset 8.0.417 (x64)","32.14.22025","Microsoft Corporation"
"Microsoft .NET Toolset 8.0.418 (x64)","32.14.51843","Microsoft Corporation"
"Microsoft .NET Toolset 8.0.419 (x64)","32.14.55941","Microsoft Corporation"
"Microsoft .NET Toolset 8.0.420 (x64)","32.15.61841","Microsoft Corporation"
"Microsoft .NET Toolset 8.0.421 (x64)","32.15.18490","Microsoft Corporation"
"Microsoft .NET Toolset 9.0.310 (x64)","36.10.51051","Microsoft Corporation"
"Microsoft .NET Toolset 9.0.311 (x64)","36.10.51454","Microsoft Corporation"
"Microsoft .NET Toolset 9.0.312 (x64)","36.11.56644","Microsoft Corporation"
